PAB51_PUL17	PUL17	PAB_51_02163	contig-100_18	36287	38098	-	16238	PAB_51_02163	GH32	yellowgreen
PAB51_PUL17	PUL17	PAB_51_02164	contig-100_18	38385	41486	+	287	PAB_51_02164	susC	purple
PAB51_PUL17	PUL17	PAB_51_02165	contig-100_18	41567	43252	+	81	PAB_51_02165	susD	orange
PAB51_PUL17	PUL17	PAB_51_02166	contig-100_18	43457	44869	+	205	PAB_51_02166	unk	gray
PAB51_PUL17	PUL17	PAB_51_02167	contig-100_18	44920	46458	+	51	PAB_51_02167	GH32	yellowgreen
PAB214_PUL2	PUL2	PAB_214_00192	NODE_1_121.337	268979	270499	-	36160	PAB_214_00192	GH32	yellowgreen
PAB214_PUL2	PUL2	PAB_214_00193	NODE_1_121.337	270518	271933	-	19	PAB_214_00193	unk	gray
PAB214_PUL2	PUL2	PAB_214_00194	NODE_1_121.337	271951	273633	-	18	PAB_214_00194	susD	orange
PAB214_PUL2	PUL2	PAB_214_00195	NODE_1_121.337	273645	276743	-	12	PAB_214_00195	susC	purple
PAB214_PUL2	PUL2	PAB_214_00196	NODE_1_121.337	277041	278858	+	298	PAB_214_00196	GH32	yellowgreen
PAB224_PUL4	PUL4	PAB_224_01528	NODE_14_93.078	13397	15229	-	-80252	PAB_224_01528	GH32	yellowgreen
PAB224_PUL4	PUL4	PAB_224_01529	NODE_14_93.078	15582	18677	+	353	PAB_224_01529	susC	purple
PAB224_PUL4	PUL4	PAB_224_01530	NODE_14_93.078	18794	20479	+	117	PAB_224_01530	susD	orange
PAB224_PUL4	PUL4	PAB_224_01531	NODE_14_93.078	20545	21957	+	66	PAB_224_01531	unk	gray
PAB224_PUL4	PUL4	PAB_224_01532	NODE_14_93.078	21960	23438	+	3	PAB_224_01532	GH32	yellowgreen
PAB519_PUL7	PUL7	PAB_519_00371	NODE_1_75.7327	413397	415217	-	249895	PAB_519_00371	GH32	yellowgreen
PAB519_PUL7	PUL7	PAB_519_00372	NODE_1_75.7327	415601	418696	+	384	PAB_519_00372	susC	purple
PAB519_PUL7	PUL7	PAB_519_00373	NODE_1_75.7327	418784	420505	+	88	PAB_519_00373	susD	orange
PAB519_PUL7	PUL7	PAB_519_00374	NODE_1_75.7327	420621	422033	+	116	PAB_519_00374	unk	gray
PAB519_PUL7	PUL7	PAB_519_00375	NODE_1_75.7327	422036	423550	+	3	PAB_519_00375	GH32	yellowgreen
PAB519_PUL7	PUL7	PAB_519_00376	NODE_1_75.7327	423686	426127	+	136	PAB_519_00376	GH32	yellowgreen
GCF_001318345.B.celulosylitycis_PUL14	PUL14	NZ_CP012801.1_1322	NZ_CP012801.1	1484454	1486256	-	76480	NZ_CP012801.1_1322	GH32	yellowgreen
GCF_001318345.B.celulosylitycis_PUL14	PUL14	NZ_CP012801.1_1323	NZ_CP012801.1	1486547	1489654	+	291	NZ_CP012801.1_1323	susC	purple
GCF_001318345.B.celulosylitycis_PUL14	PUL14	NZ_CP012801.1_1324	NZ_CP012801.1	1489673	1491406	+	19	NZ_CP012801.1_1324	susD	orange
GCF_001318345.B.celulosylitycis_PUL14	PUL14	NZ_CP012801.1_1325	NZ_CP012801.1	1491429	1492832	+	23	NZ_CP012801.1_1325	unk	gray
GCF_001318345.B.celulosylitycis_PUL14	PUL14	NZ_CP012801.1_1326	NZ_CP012801.1	1492842	1494443	+	10	NZ_CP012801.1_1326	GH32	yellowgreen
GCF_900104585.B.ihuae_PUL16	PUL16	NZ_FNVX01000004.1_824	NZ_FNVX01000004.1	992401	994176	-	55729	NZ_FNVX01000004.1_824	GH32	yellowgreen
GCF_900104585.B.ihuae_PUL16	PUL16	NZ_FNVX01000004.1_825	NZ_FNVX01000004.1	994226	995788	-	50	NZ_FNVX01000004.1_825	GH32	yellowgreen
GCF_900104585.B.ihuae_PUL16	PUL16	NZ_FNVX01000004.1_826	NZ_FNVX01000004.1	995822	997219	-	34	NZ_FNVX01000004.1_826	unk	gray
GCF_900104585.B.ihuae_PUL16	PUL16	NZ_FNVX01000004.1_827	NZ_FNVX01000004.1	997240	998937	-	21	NZ_FNVX01000004.1_827	susD	orange
GCF_900104585.B.ihuae_PUL16	PUL16	NZ_FNVX01000004.1_828	NZ_FNVX01000004.1	998958	1002104	-	21	NZ_FNVX01000004.1_828	susC	purple
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_121	NZ_BAIV01000009.1	144938	146776	-	107660	NZ_BAIV01000009.1_121	GH32	yellowgreen
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_122	NZ_BAIV01000009.1	146798	148366	-	22	NZ_BAIV01000009.1_122	GH32	yellowgreen
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_123	NZ_BAIV01000009.1	148407	149759	-	41	NZ_BAIV01000009.1_123	unk	gray
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_124	NZ_BAIV01000009.1	149799	151529	-	40	NZ_BAIV01000009.1_124	susD	orange
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_125	NZ_BAIV01000009.1	151555	153465	-	26	NZ_BAIV01000009.1_125	susC	purple
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_126	NZ_BAIV01000009.1	153462	153917	-	-3	NZ_BAIV01000009.1_126	unk	gray
GCF_000517545.B.reticulotermitis_PUL21	PUL21	NZ_BAIV01000009.1_127	NZ_BAIV01000009.1	153914	154681	-	-3	NZ_BAIV01000009.1_127	susC	purple
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1804	NC_004663.1	2173001	2174833	-	93941	NC_004663.1_1804	GH32	yellowgreen
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1805	NC_004663.1	2174963	2176534	-	130	NC_004663.1_1805	GH32	yellowgreen
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1806	NC_004663.1	2176550	2177935	-	16	NC_004663.1_1806	unk	gray
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1807	NC_004663.1	2177962	2179674	-	27	NC_004663.1_1807	susD	orange
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1808	NC_004663.1	2179702	2182815	-	28	NC_004663.1_1808	susC	purple
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1809	NC_004663.1	2183127	2183999	+	312	NC_004663.1_1809	unk	gray
GCF_000011065.1.B.teta_PUL23	PUL23	NC_004663.1_1810	NC_004663.1	2184204	2186087	-	205	NC_004663.1_1810	GH32	yellowgreen
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_63	NZ_JH724298.1	77360	79222	+	-261009	NZ_JH724298.1_63	GH32	yellowgreen
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_64	NZ_JH724298.1	79394	80266	-	172	NZ_JH724298.1_64	unk	gray
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_65	NZ_JH724298.1	80556	83669	+	290	NZ_JH724298.1_65	susC	purple
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_66	NZ_JH724298.1	83697	85409	+	28	NZ_JH724298.1_66	susD	orange
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_67	NZ_JH724298.1	85436	86821	+	27	NZ_JH724298.1_67	unk	gray
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_68	NZ_JH724298.1	86848	88407	+	27	NZ_JH724298.1_68	GH32	yellowgreen
GCF_000273315.1.Bact.xyla_PUL73	PUL73	NZ_JH724298.1_69	NZ_JH724298.1	88508	90364	+	101	NZ_JH724298.1_69	GH32	yellowgreen
